proba is,proba sr,nombre hpb,nombre shp,pic,cumul inf
0.1,0.01,1,0,198,160446
0.1,0.01,1,1,197,176366
0.1,0.01,1,2,198,176185
0.1,0.01,1,3,196,139253
0.1,0.01,1,4,195,155324
0.1,0.01,2,0,196,173149
0.1,0.01,2,1,195,173112
0.1,0.01,2,2,196,146492
0.1,0.01,2,3,195,139250
0.1,0.01,2,4,198,143685
0.1,0.01,3,0,199,149298
0.1,0.01,3,1,197,149776
0.1,0.01,3,2,198,136284
0.1,0.01,3,3,198,159812
0.1,0.01,3,4,200,130644
0.1,0.01,4,0,200,145380
0.1,0.01,4,1,199,142683
0.1,0.01,4,2,198,140294
0.1,0.01,4,3,196,137714
0.1,0.01,4,4,197,151405
0.1,0.01,5,0,194,160693
0.1,0.01,5,1,196,148323
0.1,0.01,5,2,197,137369
0.1,0.01,5,3,196,165324
0.1,0.01,5,4,197,149643
0.1,0.015,1,0,199,124195
0.1,0.015,1,1,197,106796
0.1,0.015,1,2,193,114321
0.1,0.015,1,3,194,104139
0.1,0.015,1,4,196,122688
0.1,0.015,2,0,196,91582
0.1,0.015,2,1,194,116534
0.1,0.015,2,2,188,88298
0.1,0.015,2,3,196,91645
0.1,0.015,2,4,198,103612
0.1,0.015,3,0,197,98769
0.1,0.015,3,1,198,111884
0.1,0.015,3,2,194,98480
0.1,0.015,3,3,196,82067
0.1,0.015,3,4,198,95544
0.1,0.015,4,0,195,103721
0.1,0.015,4,1,196,104344
0.1,0.015,4,2,193,100133
0.1,0.015,4,3,197,99820
0.1,0.015,4,4,198,92399
0.1,0.015,5,0,196,111904
0.1,0.015,5,1,199,103032
0.1,0.015,5,2,196,90513
0.1,0.015,5,3,190,90925
0.1,0.015,5,4,197,82068
0.1,0.02,1,0,191,89514
0.1,0.02,1,1,195,80335
0.1,0.02,1,2,195,84120
0.1,0.02,1,3,190,73383
0.1,0.02,1,4,196,75744
0.1,0.02,2,0,194,69098
0.1,0.02,2,1,197,84234
0.1,0.02,2,2,191,77822
0.1,0.02,2,3,190,68472
0.1,0.02,2,4,194,72630
0.1,0.02,3,0,195,67572
0.1,0.02,3,1,191,71962
0.1,0.02,3,2,197,81467
0.1,0.02,3,3,196,77784
0.1,0.02,3,4,194,70792
0.1,0.02,4,0,192,76321
0.1,0.02,4,1,190,60689
0.1,0.02,4,2,195,77843
0.1,0.02,4,3,195,72765
0.1,0.02,4,4,186,60410
0.1,0.02,5,0,195,78868
0.1,0.02,5,1,196,72863
0.1,0.02,5,2,195,70201
0.1,0.02,5,3,191,67290
0.1,0.02,5,4,187,69780
0.1,0.025,1,0,188,59367
0.1,0.025,1,1,193,63161
0.1,0.025,1,2,191,59258
0.1,0.025,1,3,196,57413
0.1,0.025,1,4,193,66733
0.1,0.025,2,0,190,60387
0.1,0.025,2,1,192,63059
0.1,0.025,2,2,180,51971
0.1,0.025,2,3,185,56398
0.1,0.025,2,4,191,54455
0.1,0.025,3,0,190,64770
0.1,0.025,3,1,193,68766
0.1,0.025,3,2,187,60849
0.1,0.025,3,3,192,57576
0.1,0.025,3,4,194,63178
0.1,0.025,4,0,190,60967
0.1,0.025,4,1,188,57375
0.1,0.025,4,2,191,54271
0.1,0.025,4,3,194,57227
0.1,0.025,4,4,192,54542
0.1,0.025,5,0,194,57111
0.1,0.025,5,1,194,66701
0.1,0.025,5,2,192,64701
0.1,0.025,5,3,190,59920
0.1,0.025,5,4,191,53168
0.1,0.03,1,0,185,51460
0.1,0.03,1,1,191,42617
0.1,0.03,1,2,187,46813
0.1,0.03,1,3,193,46930
0.1,0.03,1,4,192,45239
0.1,0.03,2,0,189,58144
0.1,0.03,2,1,194,46965
0.1,0.03,2,2,182,42270
0.1,0.03,2,3,185,48710
0.1,0.03,2,4,191,45507
0.1,0.03,3,0,194,62187
0.1,0.03,3,1,185,43559
0.1,0.03,3,2,191,53248
0.1,0.03,3,3,190,49744
0.1,0.03,3,4,188,50680
0.1,0.03,4,0,187,46138
0.1,0.03,4,1,193,47176
0.1,0.03,4,2,192,50850
0.1,0.03,4,3,195,46895
0.1,0.03,4,4,188,56742
0.1,0.03,5,0,193,51280
0.1,0.03,5,1,190,50082
0.1,0.03,5,2,192,47059
0.1,0.03,5,3,194,48509
0.1,0.03,5,4,195,48803
0.1,0.035,1,0,194,47519
0.1,0.035,1,1,192,43640
0.1,0.035,1,2,192,46971
0.1,0.035,1,3,197,44414
0.1,0.035,1,4,192,40721
0.1,0.035,2,0,187,44093
0.1,0.035,2,1,193,45270
0.1,0.035,2,2,188,40092
0.1,0.035,2,3,192,36232
0.1,0.035,2,4,192,45581
0.1,0.035,3,0,189,47399
0.1,0.035,3,1,191,41036
0.1,0.035,3,2,189,43522
0.1,0.035,3,3,182,34597
0.1,0.035,3,4,180,40823
0.1,0.035,4,0,187,41126
0.1,0.035,4,1,189,39966
0.1,0.035,4,2,194,43822
0.1,0.035,4,3,182,34234
0.1,0.035,4,4,192,40147
0.1,0.035,5,0,191,43222
0.1,0.035,5,1,192,46854
0.1,0.035,5,2,190,36457
0.1,0.035,5,3,187,38267
0.1,0.035,5,4,186,40155
0.1,0.04,1,0,192,44472
0.1,0.04,1,1,189,34641
0.1,0.04,1,2,190,33942
0.1,0.04,1,3,191,39735
0.1,0.04,1,4,194,34776
0.1,0.04,2,0,190,41037
0.1,0.04,2,1,190,37644
0.1,0.04,2,2,188,34206
0.1,0.04,2,3,187,36535
0.1,0.04,2,4,183,34577
0.1,0.04,3,0,179,37252
0.1,0.04,3,1,180,38399
0.1,0.04,3,2,183,35568
0.1,0.04,3,3,187,33901
0.1,0.04,3,4,184,35790
0.1,0.04,4,0,190,34844
0.1,0.04,4,1,191,37829
0.1,0.04,4,2,187,29673
0.1,0.04,4,3,196,37910
0.1,0.04,4,4,185,37472
0.1,0.04,5,0,183,33574
0.1,0.04,5,1,189,37215
0.1,0.04,5,2,190,31869
0.1,0.04,5,3,189,32718
0.1,0.04,5,4,190,37679
0.1,0.045,1,0,186,37853
0.1,0.045,1,1,190,32509
0.1,0.045,1,2,190,34070
0.1,0.045,1,3,183,35117
0.1,0.045,1,4,192,34555
0.1,0.045,2,0,188,38368
0.1,0.045,2,1,179,33101
0.1,0.045,2,2,184,31174
0.1,0.045,2,3,193,30436
0.1,0.045,2,4,183,34384
0.1,0.045,3,0,190,31657
0.1,0.045,3,1,192,37423
0.1,0.045,3,2,186,31069
0.1,0.045,3,3,188,27075
0.1,0.045,3,4,188,30988
0.1,0.045,4,0,184,33449
0.1,0.045,4,1,181,29107
0.1,0.045,4,2,192,37155
0.1,0.045,4,3,186,35977
0.1,0.045,4,4,186,30179
0.1,0.045,5,0,183,32345
0.1,0.045,5,1,189,30407
0.1,0.045,5,2,189,33435
0.1,0.045,5,3,188,30973
0.1,0.045,5,4,190,30881
0.1,0.05,1,0,180,30377
0.1,0.05,1,1,188,33125
0.1,0.05,1,2,178,30965
0.1,0.05,1,3,198,37094
0.1,0.05,1,4,181,25138
0.1,0.05,2,0,180,24466
0.1,0.05,2,1,187,26783
0.1,0.05,2,2,185,30515
0.1,0.05,2,3,180,29647
0.1,0.05,2,4,190,36139
0.1,0.05,3,0,182,30843
0.1,0.05,3,1,189,29254
0.1,0.05,3,2,177,30267
0.1,0.05,3,3,181,25643
0.1,0.05,3,4,184,26246
0.1,0.05,4,0,180,24311
0.1,0.05,4,1,179,27308
0.1,0.05,4,2,182,26870
0.1,0.05,4,3,185,26557
0.1,0.05,4,4,195,30578
0.1,0.05,5,0,186,28523
0.1,0.05,5,1,190,27897
0.1,0.05,5,2,195,30721
0.1,0.05,5,3,186,24652
0.1,0.05,5,4,184,29179
0.1,0.055,1,0,187,31374
0.1,0.055,1,1,186,28858
0.1,0.055,1,2,172,24541
0.1,0.055,1,3,176,23423
0.1,0.055,1,4,193,27122
0.1,0.055,2,0,183,24696
0.1,0.055,2,1,182,24798
0.1,0.055,2,2,184,27488
0.1,0.055,2,3,174,28160
0.1,0.055,2,4,182,26881
0.1,0.055,3,0,183,30518
0.1,0.055,3,1,182,27130
0.1,0.055,3,2,189,26951
0.1,0.055,3,3,188,23703
0.1,0.055,3,4,170,22450
0.1,0.055,4,0,182,24262
0.1,0.055,4,1,182,23396
0.1,0.055,4,2,188,25737
0.1,0.055,4,3,175,23079
0.1,0.055,4,4,186,24500
0.1,0.055,5,0,178,27009
0.1,0.055,5,1,181,27355
0.1,0.055,5,2,187,22847
0.1,0.055,5,3,190,26379
0.1,0.055,5,4,188,27031
0.1,0.06,1,0,181,28110
0.1,0.06,1,1,176,28279
0.1,0.06,1,2,179,25801
0.1,0.06,1,3,179,24520
0.1,0.06,1,4,176,25124
0.1,0.06,2,0,183,26319
0.1,0.06,2,1,182,22597
0.1,0.06,2,2,173,25001
0.1,0.06,2,3,193,29666
0.1,0.06,2,4,174,20085
0.1,0.06,3,0,181,24252
0.1,0.06,3,1,180,23894
0.1,0.06,3,2,186,24376
0.1,0.06,3,3,183,23886
0.1,0.06,3,4,191,23543
0.1,0.06,4,0,186,27723
0.1,0.06,4,1,180,23416
0.1,0.06,4,2,179,25669
0.1,0.06,4,3,178,21231
0.1,0.06,4,4,174,20485
0.1,0.06,5,0,187,24426
0.1,0.06,5,1,190,22925
0.1,0.06,5,2,180,20069
0.1,0.06,5,3,183,22183
0.1,0.06,5,4,177,22195
0.15,0.01,1,0,195,108283
0.15,0.01,1,1,198,115927
0.15,0.01,1,2,197,99510
0.15,0.01,1,3,196,107294
0.15,0.01,1,4,197,111785
0.15,0.01,2,0,196,107391
0.15,0.01,2,1,197,107233
0.15,0.01,2,2,197,96720
0.15,0.01,2,3,195,86470
0.15,0.01,2,4,192,113776
0.15,0.01,3,0,196,104390
0.15,0.01,3,1,196,101817
0.15,0.01,3,2,198,112297
0.15,0.01,3,3,197,99416
0.15,0.01,3,4,194,93077
0.15,0.01,4,0,199,123284
0.15,0.01,4,1,195,105236
0.15,0.01,4,2,196,89780
0.15,0.01,4,3,196,107308
0.15,0.01,4,4,198,107267
0.15,0.01,5,0,200,107255
0.15,0.01,5,1,196,101734
0.15,0.01,5,2,200,103219
0.15,0.01,5,3,199,95717
0.15,0.01,5,4,187,92651
0.15,0.015,1,0,192,68801
0.15,0.015,1,1,195,82509
0.15,0.015,1,2,198,81383
0.15,0.015,1,3,192,64146
0.15,0.015,1,4,197,71160
0.15,0.015,2,0,193,70877
0.15,0.015,2,1,187,77740
0.15,0.015,2,2,195,72030
0.15,0.015,2,3,199,71074
0.15,0.015,2,4,194,71873
0.15,0.015,3,0,195,73857
0.15,0.015,3,1,199,78742
0.15,0.015,3,2,198,71721
0.15,0.015,3,3,190,74402
0.15,0.015,3,4,198,72116
0.15,0.015,4,0,199,67497
0.15,0.015,4,1,196,75814
0.15,0.015,4,2,192,71798
0.15,0.015,4,3,199,66886
0.15,0.015,4,4,194,64016
0.15,0.015,5,0,194,72289
0.15,0.015,5,1,194,70649
0.15,0.015,5,2,195,60777
0.15,0.015,5,3,193,63585
0.15,0.015,5,4,196,62506
0.15,0.02,1,0,190,59517
0.15,0.02,1,1,193,54461
0.15,0.02,1,2,195,57801
0.15,0.02,1,3,196,58772
0.15,0.02,1,4,192,57928
0.15,0.02,2,0,195,60403
0.15,0.02,2,1,196,42099
0.15,0.02,2,2,193,54505
0.15,0.02,2,3,189,49911
0.15,0.02,2,4,193,45004
0.15,0.02,3,0,194,51845
0.15,0.02,3,1,189,47493
0.15,0.02,3,2,193,56752
0.15,0.02,3,3,196,50328
0.15,0.02,3,4,190,40490
0.15,0.02,4,0,194,47488
0.15,0.02,4,1,190,44766
0.15,0.02,4,2,193,50188
0.15,0.02,4,3,195,54468
0.15,0.02,4,4,198,48436
0.15,0.02,5,0,197,54988
0.15,0.02,5,1,193,46360
0.15,0.02,5,2,194,53014
0.15,0.02,5,3,195,58233
0.15,0.02,5,4,194,52165
0.15,0.025,1,0,187,47476
0.15,0.025,1,1,187,45252
0.15,0.025,1,2,187,41407
0.15,0.025,1,3,193,37952
0.15,0.025,1,4,184,36072
0.15,0.025,2,0,189,40322
0.15,0.025,2,1,195,41670
0.15,0.025,2,2,190,37100
0.15,0.025,2,3,194,38843
0.15,0.025,2,4,193,44118
0.15,0.025,3,0,189,43601
0.15,0.025,3,1,194,43553
0.15,0.025,3,2,194,45498
0.15,0.025,3,3,194,39329
0.15,0.025,3,4,194,43121
0.15,0.025,4,0,193,39360
0.15,0.025,4,1,194,42444
0.15,0.025,4,2,192,35163
0.15,0.025,4,3,192,42413
0.15,0.025,4,4,191,39769
0.15,0.025,5,0,191,37548
0.15,0.025,5,1,190,37476
0.15,0.025,5,2,186,34247
0.15,0.025,5,3,192,40064
0.15,0.025,5,4,190,39950
0.15,0.03,1,0,190,41916
0.15,0.03,1,1,187,37772
0.15,0.03,1,2,188,38572
0.15,0.03,1,3,191,35322
0.15,0.03,1,4,187,30620
0.15,0.03,2,0,191,36628
0.15,0.03,2,1,185,39843
0.15,0.03,2,2,192,32803
0.15,0.03,2,3,192,33448
0.15,0.03,2,4,183,36437
0.15,0.03,3,0,190,38287
0.15,0.03,3,1,195,37861
0.15,0.03,3,2,189,30823
0.15,0.03,3,3,194,37333
0.15,0.03,3,4,196,33610
0.15,0.03,4,0,193,34809
0.15,0.03,4,1,192,31367
0.15,0.03,4,2,192,36583
0.15,0.03,4,3,182,28154
0.15,0.03,4,4,190,29266
0.15,0.03,5,0,178,26936
0.15,0.03,5,1,191,31635
0.15,0.03,5,2,197,33686
0.15,0.03,5,3,190,32139
0.15,0.03,5,4,192,33164
0.15,0.035,1,0,183,33662
0.15,0.035,1,1,188,29865
0.15,0.035,1,2,187,35706
0.15,0.035,1,3,191,27362
0.15,0.035,1,4,185,28746
0.15,0.035,2,0,191,29567
0.15,0.035,2,1,191,34611
0.15,0.035,2,2,188,28105
0.15,0.035,2,3,189,27049
0.15,0.035,2,4,188,28845
0.15,0.035,3,0,194,35712
0.15,0.035,3,1,193,27515
0.15,0.035,3,2,191,31081
0.15,0.035,3,3,185,26345
0.15,0.035,3,4,186,27210
0.15,0.035,4,0,186,28812
0.15,0.035,4,1,190,27435
0.15,0.035,4,2,186,23366
0.15,0.035,4,3,192,31702
0.15,0.035,4,4,195,28191
0.15,0.035,5,0,183,27981
0.15,0.035,5,1,190,33260
0.15,0.035,5,2,187,23325
0.15,0.035,5,3,191,29395
0.15,0.035,5,4,194,29256
0.15,0.04,1,0,192,26743
0.15,0.04,1,1,188,24535
0.15,0.04,1,2,193,24612
0.15,0.04,1,3,190,24300
0.15,0.04,1,4,187,23601
0.15,0.04,2,0,185,26955
0.15,0.04,2,1,193,26589
0.15,0.04,2,2,189,25338
0.15,0.04,2,3,191,23538
0.15,0.04,2,4,191,24729
0.15,0.04,3,0,182,25020
0.15,0.04,3,1,187,26268
0.15,0.04,3,2,189,24607
0.15,0.04,3,3,193,27531
0.15,0.04,3,4,189,27915
0.15,0.04,4,0,186,25398
0.15,0.04,4,1,192,23313
0.15,0.04,4,2,191,24297
0.15,0.04,4,3,187,23902
0.15,0.04,4,4,189,24030
0.15,0.04,5,0,192,27056
0.15,0.04,5,1,181,26294
0.15,0.04,5,2,185,27157
0.15,0.04,5,3,179,21006
0.15,0.04,5,4,188,26754
0.15,0.045,1,0,190,26638
0.15,0.045,1,1,181,22350
0.15,0.045,1,2,175,23115
0.15,0.045,1,3,183,20940
0.15,0.045,1,4,185,23333
0.15,0.045,2,0,186,21784
0.15,0.045,2,1,188,25188
0.15,0.045,2,2,180,20738
0.15,0.045,2,3,185,21599
0.15,0.045,2,4,193,25829
0.15,0.045,3,0,184,22993
0.15,0.045,3,1,188,22983
0.15,0.045,3,2,186,20647
0.15,0.045,3,3,186,19186
0.15,0.045,3,4,182,23297
0.15,0.045,4,0,187,21574
0.15,0.045,4,1,188,23503
0.15,0.045,4,2,190,24304
0.15,0.045,4,3,188,24167
0.15,0.045,4,4,177,18770
0.15,0.045,5,0,175,17268
0.15,0.045,5,1,192,23735
0.15,0.045,5,2,181,19911
0.15,0.045,5,3,184,20675
0.15,0.045,5,4,181,23139
0.15,0.05,1,0,185,22293
0.15,0.05,1,1,187,20233
0.15,0.05,1,2,191,20498
0.15,0.05,1,3,189,21718
0.15,0.05,1,4,191,20937
0.15,0.05,2,0,184,18752
0.15,0.05,2,1,187,21844
0.15,0.05,2,2,191,20517
0.15,0.05,2,3,193,23630
0.15,0.05,2,4,185,20305
0.15,0.05,3,0,186,23033
0.15,0.05,3,1,183,21947
0.15,0.05,3,2,182,20267
0.15,0.05,3,3,178,17739
0.15,0.05,3,4,182,20011
0.15,0.05,4,0,187,24386
0.15,0.05,4,1,189,19551
0.15,0.05,4,2,185,20024
0.15,0.05,4,3,181,20861
0.15,0.05,4,4,175,15705
0.15,0.05,5,0,189,17989
0.15,0.05,5,1,181,18656
0.15,0.05,5,2,182,16816
0.15,0.05,5,3,179,16729
0.15,0.05,5,4,175,15082
0.15,0.055,1,0,182,17150
0.15,0.055,1,1,180,16881
0.15,0.055,1,2,185,18791
0.15,0.055,1,3,178,18538
0.15,0.055,1,4,180,20770
0.15,0.055,2,0,182,18861
0.15,0.055,2,1,186,20908
0.15,0.055,2,2,181,17149
0.15,0.055,2,3,179,19061
0.15,0.055,2,4,188,17760
0.15,0.055,3,0,181,17478
0.15,0.055,3,1,185,19771
0.15,0.055,3,2,190,19554
0.15,0.055,3,3,182,15606
0.15,0.055,3,4,175,15496
0.15,0.055,4,0,188,17444
0.15,0.055,4,1,187,17718
0.15,0.055,4,2,185,16645
0.15,0.055,4,3,187,17951
0.15,0.055,4,4,182,16652
0.15,0.055,5,0,179,15779
0.15,0.055,5,1,184,19370
0.15,0.055,5,2,181,15427
0.15,0.055,5,3,170,12925
0.15,0.055,5,4,190,15399
0.15,0.06,1,0,157,13025
0.15,0.06,1,1,185,18347
0.15,0.06,1,2,168,14330
0.15,0.06,1,3,181,16565
0.15,0.06,1,4,184,13785
0.15,0.06,2,0,175,18113
0.15,0.06,2,1,182,15570
0.15,0.06,2,2,187,18369
0.15,0.06,2,3,181,16471
0.15,0.06,2,4,181,13919
0.15,0.06,3,0,193,18750
0.15,0.06,3,1,183,17904
0.15,0.06,3,2,186,14514
0.15,0.06,3,3,176,13966
0.15,0.06,3,4,187,16915
0.15,0.06,4,0,189,16949
0.15,0.06,4,1,172,14486
0.15,0.06,4,2,188,17710
0.15,0.06,4,3,179,16245
0.15,0.06,4,4,171,16231
0.15,0.06,5,0,172,15634
0.15,0.06,5,1,179,16265
0.15,0.06,5,2,184,17237
0.15,0.06,5,3,192,16073
0.15,0.06,5,4,185,19586
0.2,0.01,1,0,193,69124
0.2,0.01,1,1,198,86811
0.2,0.01,1,2,197,87063
0.2,0.01,1,3,199,75084
0.2,0.01,1,4,195,87282
0.2,0.01,2,0,199,79085
0.2,0.01,2,1,196,68030
0.2,0.01,2,2,197,84305
0.2,0.01,2,3,200,92307
0.2,0.01,2,4,200,73045
0.2,0.01,3,0,194,75138
0.2,0.01,3,1,197,85438
0.2,0.01,3,2,199,90693
0.2,0.01,3,3,199,89177
0.2,0.01,3,4,197,69572
0.2,0.01,4,0,197,86918
0.2,0.01,4,1,195,89910
0.2,0.01,4,2,199,79759
0.2,0.01,4,3,193,90008
0.2,0.01,4,4,196,82790
0.2,0.01,5,0,198,81556
0.2,0.01,5,1,197,83694
0.2,0.01,5,2,199,69074
0.2,0.01,5,3,200,78037
0.2,0.01,5,4,195,70631
0.2,0.015,1,0,196,58621
0.2,0.015,1,1,195,55533
0.2,0.015,1,2,195,53809
0.2,0.015,1,3,199,49918
0.2,0.015,1,4,192,47657
0.2,0.015,2,0,198,50455
0.2,0.015,2,1,188,55185
0.2,0.015,2,2,194,57003
0.2,0.015,2,3,193,54810
0.2,0.015,2,4,196,59180
0.2,0.015,3,0,194,50386
0.2,0.015,3,1,195,57674
0.2,0.015,3,2,196,53220
0.2,0.015,3,3,193,55683
0.2,0.015,3,4,195,54705
0.2,0.015,4,0,191,50636
0.2,0.015,4,1,191,53713
0.2,0.015,4,2,197,60467
0.2,0.015,4,3,198,56458
0.2,0.015,4,4,193,47046
0.2,0.015,5,0,196,49184
0.2,0.015,5,1,196,57951
0.2,0.015,5,2,196,51438
0.2,0.015,5,3,199,49068
0.2,0.015,5,4,192,50954
0.2,0.02,1,0,188,44976
0.2,0.02,1,1,194,43030
0.2,0.02,1,2,192,39779
0.2,0.02,1,3,192,42643
0.2,0.02,1,4,192,37523
0.2,0.02,2,0,195,38676
0.2,0.02,2,1,196,41752
0.2,0.02,2,2,194,44351
0.2,0.02,2,3,195,38430
0.2,0.02,2,4,192,44357
0.2,0.02,3,0,196,45686
0.2,0.02,3,1,192,40898
0.2,0.02,3,2,191,40511
0.2,0.02,3,3,194,41388
0.2,0.02,3,4,192,39457
0.2,0.02,4,0,194,42356
0.2,0.02,4,1,196,39734
0.2,0.02,4,2,195,36639
0.2,0.02,4,3,196,38055
0.2,0.02,4,4,193,40070
0.2,0.02,5,0,190,41030
0.2,0.02,5,1,190,37304
0.2,0.02,5,2,193,33726
0.2,0.02,5,3,185,37449
0.2,0.02,5,4,190,39554
0.2,0.025,1,0,193,35543
0.2,0.025,1,1,188,33721
0.2,0.025,1,2,192,33691
0.2,0.025,1,3,189,30864
0.2,0.025,1,4,191,30096
0.2,0.025,2,0,188,32010
0.2,0.025,2,1,190,27830
0.2,0.025,2,2,189,29622
0.2,0.025,2,3,191,31871
0.2,0.025,2,4,188,33574
0.2,0.025,3,0,192,34109
0.2,0.025,3,1,189,33407
0.2,0.025,3,2,191,31391
0.2,0.025,3,3,194,28953
0.2,0.025,3,4,189,27205
0.2,0.025,4,0,195,29000
0.2,0.025,4,1,183,32537
0.2,0.025,4,2,191,27437
0.2,0.025,4,3,196,34442
0.2,0.025,4,4,183,28187
0.2,0.025,5,0,189,31790
0.2,0.025,5,1,191,30863
0.2,0.025,5,2,194,33662
0.2,0.025,5,3,197,30286
0.2,0.025,5,4,191,32789
0.2,0.03,1,0,188,28698
0.2,0.03,1,1,191,27999
0.2,0.03,1,2,194,29095
0.2,0.03,1,3,190,28141
0.2,0.03,1,4,188,22819
0.2,0.03,2,0,193,30878
0.2,0.03,2,1,196,30301
0.2,0.03,2,2,194,27776
0.2,0.03,2,3,193,24331
0.2,0.03,2,4,184,32217
0.2,0.03,3,0,192,25679
0.2,0.03,3,1,186,24635
0.2,0.03,3,2,194,30007
0.2,0.03,3,3,187,24068
0.2,0.03,3,4,190,27313
0.2,0.03,4,0,195,26723
0.2,0.03,4,1,192,28586
0.2,0.03,4,2,187,21418
0.2,0.03,4,3,191,26013
0.2,0.03,4,4,193,27529
0.2,0.03,5,0,192,24774
0.2,0.03,5,1,193,25878
0.2,0.03,5,2,187,24095
0.2,0.03,5,3,191,27555
0.2,0.03,5,4,191,24236
0.2,0.035,1,0,191,23715
0.2,0.035,1,1,191,22215
0.2,0.035,1,2,191,26373
0.2,0.035,1,3,194,26970
0.2,0.035,1,4,187,21583
0.2,0.035,2,0,187,24928
0.2,0.035,2,1,192,23306
0.2,0.035,2,2,191,24998
0.2,0.035,2,3,193,23774
0.2,0.035,2,4,187,22724
0.2,0.035,3,0,185,23999
0.2,0.035,3,1,191,23350
0.2,0.035,3,2,193,20822
0.2,0.035,3,3,178,19325
0.2,0.035,3,4,191,22886
0.2,0.035,4,0,192,22726
0.2,0.035,4,1,185,22220
0.2,0.035,4,2,184,20689
0.2,0.035,4,3,177,19897
0.2,0.035,4,4,190,25448
0.2,0.035,5,0,186,22929
0.2,0.035,5,1,191,22149
0.2,0.035,5,2,189,20249
0.2,0.035,5,3,182,21756
0.2,0.035,5,4,186,22510
0.2,0.04,1,0,185,22539
0.2,0.04,1,1,179,20037
0.2,0.04,1,2,191,20097
0.2,0.04,1,3,187,18308
0.2,0.04,1,4,190,22827
0.2,0.04,2,0,195,21787
0.2,0.04,2,1,186,18862
0.2,0.04,2,2,184,20465
0.2,0.04,2,3,189,18461
0.2,0.04,2,4,180,19512
0.2,0.04,3,0,190,20025
0.2,0.04,3,1,181,17568
0.2,0.04,3,2,190,19146
0.2,0.04,3,3,193,19855
0.2,0.04,3,4,187,21098
0.2,0.04,4,0,188,19645
0.2,0.04,4,1,192,20418
0.2,0.04,4,2,194,20928
0.2,0.04,4,3,193,19026
0.2,0.04,4,4,177,18299
0.2,0.04,5,0,186,20865
0.2,0.04,5,1,191,21506
0.2,0.04,5,2,191,19537
0.2,0.04,5,3,184,18859
0.2,0.04,5,4,189,19917
0.2,0.045,1,0,186,17641
0.2,0.045,1,1,188,19769
0.2,0.045,1,2,191,16506
0.2,0.045,1,3,191,16622
0.2,0.045,1,4,189,15753
0.2,0.045,2,0,187,21248
0.2,0.045,2,1,183,15956
0.2,0.045,2,2,181,17958
0.2,0.045,2,3,179,16647
0.2,0.045,2,4,188,17423
0.2,0.045,3,0,190,19322
0.2,0.045,3,1,186,17651
0.2,0.045,3,2,188,20833
0.2,0.045,3,3,190,15346
0.2,0.045,3,4,185,15640
0.2,0.045,4,0,186,17664
0.2,0.045,4,1,184,15912
0.2,0.045,4,2,186,17198
0.2,0.045,4,3,186,19986
0.2,0.045,4,4,180,18074
0.2,0.045,5,0,190,19306
0.2,0.045,5,1,188,15567
